©	版权
🤡	小丑脸
🤢	恶心
🤣	笑得满地打滚
🤤	流口水
🤥	说谎
🤦	捂脸
🤧	打喷嚏
🤨	扬眉吐气
🤩	好崇拜哦
🤪	疯狂的脸
🤫	安静的脸
🤬	嘴上有符号的脸
🤭	不说
🤮	呕吐
🤯	爆炸头
🤰	孕妇
🤱	母乳喂养
🤲	掌心向上托起
🤳	自拍
🤴	王子
🤵	穿燕尾服的男人
🤶	圣诞奶奶
🤷	耸肩
🤸	侧手翻
🤹	抛接杂耍
🤺	击剑选手
🤼	摔跤选手
🤽	水球
🤾	手球
🤿	潜水面罩
🥀	枯萎的花
🥁	鼓
🥂	碰杯
🥃	塔博杯
🥄	匙子
🥅	球门
🥇	金牌
🥈	银牌
🥉	铜牌
🥊	拳击手套
🥋	练武服
🥌	冰壶
🥍	袋棍球
🥎	垒球
🥏	飞盘
🥐	羊角面包
🥑	鳄梨
🥒	黄瓜
🥓	培根
🥔	土豆
🥕	胡萝卜
🥖	法式长棍面包
🥗	绿色沙拉
🥘	装有食物的浅底锅
🥙	夹心饼
🥚	蛋
🥛	一杯奶
🥜	花生
🥝	猕猴桃
🥞	烙饼
🥟	饺子
🥠	幸运饼干
🥡	外卖盒
🥢	筷子
🥣	碗勺
🥤	带吸管杯
🥥	椰子
🥦	西兰花
🥧	派
🥨	椒盐卷饼
🥩	切肉
🥪	三明治
🥫	罐头食品
🥬	绿叶蔬菜
🥭	芒果
🥮	月饼
🥯	面包圈
🥰	喜笑颜开
🥱	打呵欠
🥲	含泪的笑脸
🥳	聚会笑脸
🥴	头昏眼花
🥵	脸发烧
🥶	冷脸
🥷	忍者
🥸	伪装的脸
🥹	忍住泪水
🥺	恳求的脸
🥻	纱丽
🥼	白大褂
🥽	护目镜
🥾	登山鞋
🥿	平底鞋
🦀	蟹
🦁	狮子
🦂	蝎子
🦃	火鸡
🦄	独角兽头
🦅	鹰
🦆	鸭子
🦇	蝙蝠
🦈	鲨鱼
🦉	猫头鹰
🦊	狐狸的脸
🦋	蝴蝶
🦌	鹿
🦍	大猩猩
🦎	蜥蜴
🦏	犀牛
🦐	虾
🦑	乌贼
🦒	长颈鹿
🦓	斑马
🦔	刺猬
🦕	蜥蜴类
🦖	霸王龙
🦗	蟋蟀
🦘	袋鼠
🦙	美洲鸵
🦚	孔雀
🦛	河马
🦜	鹦鹉
🦝	浣熊
🦞	龙虾
🦟	蚊子
🦠	细菌
🦡	獾
🦢	天鹅
🦣	猛犸
🦤	渡渡鸟
🦥	树懒
🦦	水獭
🦧	红毛猩猩
🦨	臭鼬
🦩	火烈鸟
🦪	牡蛎
🦫	海狸
🦬	大野牛
🦭	海豹
🦮	导盲犬
🦯	盲杖
🦰	红发
🦱	卷发
🦲	秃顶
🦳	白发
🦴	骨头
🦵	腿
🦶	脚
🦷	牙齿
🦸	超级英雄
🦹	超级大坏蛋
🦺	救生衣
🦻	戴助听器的耳朵
🦼	电动轮椅
🦽	手动轮椅
🦾	机械手臂
🦿	机械腿
🧀	芝士
🧁	纸杯蛋糕
🧂	盐
🧃	饮料盒
