®	marque déposée
😾	tête de chat qui boude
😿	tête de chat qui pleure
🙀	tête de chat fatigué
🙁	visage légèrement mécontent
🙂	visage avec un léger sourire
🙃	tête à l’envers
🙄	visage roulant des yeux
🙅	personne faisant un geste d’interdiction
🙆	personne faisant un geste d’acceptation
🙇	personne qui s’incline
🙈	singe ne rien voir
🙉	singe ne rien entendre
🙊	singe ne rien dire
🙋	personne qui lève la main
🙌	mains levées
🙍	personne fronçant les sourcils
🙎	personne qui boude
🙏	mains en prière
🚀	fusée
🚁	hélicoptère
🚂	locomotive
🚃	wagon
🚄	TGV
🚅	train à grande vitesse
🚆	train
🚇	métro
🚈	métro léger
🚉	gare
🚊	tramway
🚋	wagon de tramway
🚌	bus
🚍	bus de face
🚎	trolleybus
🚏	arrêt de bus
🚐	minibus
🚑	ambulance
🚒	camion de pompier
🚓	voiture de police
🚔	voiture de police de face
🚕	taxi
🚖	taxi de face
🚗	voiture
🚘	voiture de face
🚙	véhicule utilitaire sport
🚚	camion de livraison
🚛	semi-remorque
🚜	tracteur
🚝	monorail
